11,Оружейник/ТУ,Armoury,2,1,"ИН-5, Инженер-4",,"нтировать оружие и броню соответствующего технологического уровня. умение не предполагает умения проектировать новые виды снаряжения – этим занимаются Инженеры (c.190). Успешный бросок требуется, чтобы найти поломку оружия (если она не очевидна). Второй бросок позволяет вам отремонтировать его. Мастер должен определить разумное время для каждой попытки ремонта. Необходима специализация. Большинство специализаций по молчанию относятся друг к другу с -4, но на ТУ 4+ специализации на броне и на оружии не могут иметь уровня по умолчанию друг к другу. Исключение составляет мобильная броня, которая охватывает все ее системы, включая оружие. Разные ТУ предполагают разные технологии в пределах текущей специализации. Например, Оружейник (небольшое оружие) обеспечивает уход за пистолями на ТУ 4, револьверами на ТУ 6 и лучевым оружием на ТУ 10.
Мастер должен серьёзно увеличить штрафы за незнакомство. Оружейник/ТУ10 (малое оружие) может содержать как лучевое оружие, так и переносные рейлганы, но переход от одного типа к другому может дать штраф -2, пока вы не ознакомитесь со всеми отличиями."," -2 за незнакомый предмет в пределах вашей специальности (латы, если вы привыкли делать кольчуги), модификаторы за наличие снаряжения (с.345).",1
12,Артиллерия/ТУ,Artillery,2,1,ИН-5,,"Способность использовать тяжелое оружие наподобие требушета или катапульты, стреляющее по навесной траектории (для стрельбы прямой наводкой используется Тяжелое оружие, с.198). Для ускорения перезарядки заряжающие могут бросать умение, основанный на СЛ. Подробности можно найти в описании конкретного вида оружия.
Специализация необходима. Доступные виды различаются на разных ТУ. Между специализациями нет зависимости по умолчанию. Все они считаются одним умением лишь потому, что стрельба из них подчиняется одним и тем же правилам. Используемое умением оружие различается на разных ТУ: пушки на ТУ 3 – примитивные бомбарды, а на ТУ 9 – орбитальные рельсовые орудия.
Знакомство с каждым из видов орудий критически важно: Артиллерия (пушки) включает как 81-мм пехотные минометы, и 406-мм корабельные орудия, но переход от одного типа к другому даст -2 за тип оружия (81-мм. и 406-мм), -2 за тип контроля огня (визуальное ориентирование и центральный пост), и -2 за способ монтирования (тренога и корабельная башня), вплоть до -6 к умению, до тех пор, пока вы не ознакомитесь со всеми различиями. Для точной наводки может потребоваться умение Наблюдатель (c.196)."," -2 за разницу в калибре (155-мм и 203-мм), -2 за тип контроля огня (указание координат по карте, если вы обычно используете спутниковую навигацию) -2 за базирование (морское, орбитальное, наземное…). Модификаторы накопительны. -4 и больше, если оружие в плохом состоянии.",1
13,Изобразительное искусство,Artist,2,2,ИН-6,,"Определяет таланты в визуальном искусстве. Успешный бросок этого умения позволит вам, создать узнаваемый портрет кого-либо, карту, по которой будет легко идти, или предмет искусства, который можно будет продать (для последнего Мастер не должен позволять бросок по умолчанию). Необходимое время – на усмотрение Мастера.
Броски обычно основаны на ИН, однако, нередки случаи бросков, основанных на ЛВ (если хорошо развитая тонкая моторика рук может помочь, с использованием модификаторов за уменьшенную (с.138) или увеличенную ловкость рук (с.59). В редких случаях могут делаться даже броски, основанные на СЛ (в случае тяжелой работы с материалом). Требуется специализация. Каллиграфия, Рисование, Иллюстрирование и Живопись друг к другу относятся с -2, к Боди-арту (и от него) с -4; Интерьер, Декорации и Работа по дереву - друг к другу с -4. Все остальные специализации относятся друг к другу с -6.
Возможна необязательная специализация (с.169) внутри одного рода искусств – по определенным техникам работы. Некоторые из специализаций людьми называются ремеслом, а не искусством – от вас зависит, будете ли вы концентрировать свое внимание на красоте, реализме или функциональности."," -2 за незнакомый материал, -5 за сложности (например, мраморные скульптуры). Модификаторы за оборудование (с.345).",1
14,Астрономия/ТУ,Astronomy,2,2,ИН-6,Математика (прикладная),"Это наука о звездах и других космических объектах. Астроном может ответить на вопросы, касающиеся Солнца, планет Солнечной системы, метеоритов и так далее. Любитель, который не выполняет вычислений, но знаком со звездами, имеет необязательную специализацию (с.169) Наблюдение. Эта специализация не требует математических знаний.",,0
15,Самогипноз,Autohypnosis,5,2,Медитация-4,,"Позволяет подключать резервы внутренней силы, входя в трансоподобное состояние. Вхождение в транс требует периода концентрации в течение (20-умение) секунд, минимум 1 секунды. Вы не можете двигаться и разговаривать в это время. При успешном броске умения вы можете сделать одно из следующих действий: Улучшение концентрации: вы получаете +2 на определенную длительную ментальную работу (написание программы или взлом шифра), но -2 на все остальные броски ИН, Восприятия и умений. Задача должна быть относительно спокойной и выполняться в тихом месте (библиотека, лаборатория, монастырь и пр.).
Увеличение воли: вы получаете +2 к Воле (+5 на критическом успехе) на один час. Премия помогает при сопротивлении допросу, пыткам, магическим или ментальным атакам. Этот бросок делается с -2.
Игнорирование боли/усталости: уменьшение негативных эффектов уменьшения ваших ЕЖ или ЕУ ниже 1/3 обычных (но не сами усталость и раны). Бросок делается с -4, и позволена только одна попытка в час.",,0
16,Лучевое Оружие/ТУ,Beam Weapons,1,0,ЛВ-4,,"Это умение использовать ручное лучевое оружие, включая бластеры, лазеры, станнеры и т.д. Требуется специализация по типу оружия. Между собой эти разные виды специализации относятся  с -4. Разные типы лучей (лазер, бластер, станнер и пр.) считаются как знакомства. Похожие друг на друга виды лучевого и огнестрельного оружия также относятся друг к другу с -4.
Более тяжелое лучевое оружие относится к умениям Тяжелое оружие (с.198) и Артиллерия (с.178).",,1
17,Велосипед,Bicycling,1,0,"ЛВ-4, Вождение (Мотоцикл)-4",,"Способность ездить на велосипеде на дальние дистанции, с высокой скоростью и т.д. Вы получаете +4, если все, что вы хотите – это проехать и не упасть. Бросок, основанный на ИН, представляет ваши знания о поломках и ремонте велосипедов.",,0
18,Биоинженерия/ТУ,Bioengineering,2,2,Биология-5,,"Способность разрабатывать живые организмы с заданными характеристиками, или создавать продукты биотехнологии. Необходима специализация. Специализации относятся друг к другу по умолчанию с -4.",,1
19,Биология/ТУ,Biology,2,3,ИН-6 или Натуралист-6,,"Наука о структуре, привычках и обитании живых организмов. Вы должны специализироваться на жизни определенного типа планет (см. выделенный блок). Если вы не указываете тип планет, подразумевается специализация на типе вашей родной планеты. Бросок по умолчанию от ИН позволен только по тому типу планет, на котором вы выросли. Различные специализации зависят друг от друга с -4.
На ТУ 6+ большинство биологов берут также необязательную специализацию по типам живых организмов. Наиболее обычные типы – Биохимия (наука о химических реакциях в организме), Ботаника (наука о растениях), Экология (наука о окружающей среде), Генетика (учение о наследовании и генах), Морская биология (изучает подводную жизнь), Микробиология (наука о микроскопических организмах) и Зоология (Наука о животных), но доступны и другие виды специализации.",,1
20,Бой вслепую,Blind Fighting,6,3,нет,"Мастер оружия, Ученик Мастера","Вы изучили тайны боя в полной темноте. В результате, вы можете чувствовать вашу цель, не видя ее. умение позволяет использовать другие чувства, кроме зрения – в основном слух, но зачастую и осязание и даже обоняние – для точного определения местонахождения врага.
Успешный бросок умения позволяет одну контактную атаку или защиту без любых штрафов за освещение, слепоту и невидимость врага (но с дополнительным штрафом -2, если вы пытаетесь ударить в определенную точку цели). Если вам также известено умение Дзен-лучник (с.228), вы можете стрелять по невидимым вам целям с -6 к обоим умениям.
Оппоненты, которым известно о вашей способности, могут попытаться обмануть ее, победив в быстром состязании Скрытности-4 против Боя вслепую, каждый ход. В случае успеха вы не можете определить местонахождение врага. Однако, Искусство невидимости (с.202) не действует на вас; оно абсолютно бесполезно против этого умения.","штраф за фоновый шум: -1 за дождь, -2 ливень или буря, -3 – тяжелая техника или толпа, -4 за полный стадион, -5 среди канонады. Если вы не можете слышать вообще, то бросок умения делается с -7 (но все равно доступен, поскольку основан не только на слухе). Также вы получаете премию, равную уровню Обостренного слуха. Также вы получаете премию за высшее значение из Таланта к телепатии (с.257) или Таланта к экстрасенсорике (с.256).",0
21,Духовая трубка,Blowpipe,1,2,ЛВ-6,,"Это умение стрелять из духовой трубки маленькими (обычно отравленными) стрелами. Также умение может использоваться для выдувания порошка в цель в радиусе 1 метра. Это считается контактной  атакой, а не дистанционной, и делается с +2."," -2 и больше при наличии ветра, если стрельба происходит на улице.",0
22,Малые корабли/ТУ,Boating,1,1,"ЛВ-5, ИН-5",,"Способность управлять определенным типом небольших судов. Большие суда с многочисленным экипажем используют умения Член экипажа (моряк) (c.185) и Кораблевождение (c.220).
Бросок необходим для спуска на воду и при каждой опасности. При использовании по умолчанию вы также кидаете при первой посадке в лодку – чтобы не упасть.
Необходима специализация."," -2, если лодка незнакомого типа, но в пределах вашей специализации (каяк и шлюпка); неспокойная погода и неблагоприятные навигационные условия дают штраф -3 или больше.",1
23,Контроль тела,Body Control,3,3,нет,"Ученик Мастера, Контроль дыхания, Медитация","Эта способность позволяет контролировать непроизвольные функции тела, такие, как сердцебиение, кровоток и пищеварение. Одним из способов использования этого умения является возможность входить в смертеподобный транс, во время которого только победа в состязании Диагностики против умения Контроля тела позволит определить, что вы живы. Это требует (30-умение) секунд концентрации (минимум 1 секунда). Также вы можете использовать умение для выведения яда из тела. Для этого сначала надо определить яд броском умения Яды (или Алхимия, Фармакология и т.д., если это подходит). Вы не можете делать такого броска до того, как узнаете, что вы отравлены – в большинстве случаев, до появления первых симптомов. Успешный бросок Контроля тела – модифицированный любыми доступными модификаторами ЗД для сопротивления ядам – выводит яд за 1к часов, после чего вы не получаете никаких дальнейших повреждений.
Наконец, вы можете использовать высшее из значений этого умения и ЗД для сопротивления любому Воздействию, заклинанию и пси-атаке, которой обычно сопротивляются по ЗД.",,0
24,Язык тела,Body Language,6,1,"Определение лжи-4, Психология-4",,"Это способность интерпретировать выражение лица персоны и ее движения, для предугадывания ее чувств. Вы можете использовать Язык тела вместо преимущества Эмпатия (с.51) или умения Обнаружение лжи (с.187), но только если можете видеть субъекта. Также вы можете использовать эту способность для получения примерных представлений о действиях члена группы в ситуациях, когда вы не можете общаться напрямую (например, при использовании Скрытности). Вы можете наблюдать только за одним субъектом одновременно. Способность читать движения тела в бою – обычная часть любого боевого умения; см. Финт (с.365).","все модификаторы зрения, физиологии. +4, если субъект имеет недостаток Легко Понять. Все, что затрудняет определение движений: тяжелая или свободная одежда -1, щит или плащ – от -2 до -4; маска - -5 (и делает вообще невозможным использование умения, если вам не видно остального тела!).",0
25,Чувство тела,Body Sense,1,2,"ЛВ-6, Акробатика-3",,"Это способность быстро прийти в себя после телепортации или любого подобного магического или телепатического «мгновенного перемещения». Успешный бросок показывает, что вы можете нормально действовать со следующего хода. Провал означает, что вы дезориентированы - никакие действия кроме защиты в первый ход невозможны. Критический провал означает, что вы упали оглушенным."," +3 за Чувство Направления; -2, если вас развернуло, с -5, если перевернуло с ног на голову и т.д. Обратите внимание, что вы не можете изменять физическое расположение во время телепортации - только ориентацию в пространстве.",0
26,Болас,Bolas,1,1,нет,,"Болас - это метательное оружие, представляющее собой два или более грузов, соединенных между собой веревкой, предназначенное преимущественно для обездвиживания противника. Подробные правила по использованию его можно найти в параграфе Особое метательное оружие (с.410).",,0
27,Лук,Bow,1,1,ЛВ-5,,"Это умение пользоваться длинным или коротким луком и всеми подобными типами луков. Оно также включает в себя умение пользоваться разными составными луками, но человек, незнакомый с новым типом луков, получает положенный за это штраф (-2).",,0
28,Бокс ,Boxing,1,1,нет,,"Хотя на западе его и не считают боевым искусством, бокс - это научная техника безоружного боя. В плане точности и изящества бокс находится где-то посередине между дракой и каратэ. Для ударов ногой подобной премии нет – бить ногами учат только в Каратэ (с.203) или Драке (с.182).
Хороший боксер обладает более мощным ударом: если вы тренированы на уровне ЛВ+1, ваше базовое повреждение прямыми ударами кулаками увеличивается на +1 на кубик. Если ваш умение бокса ЛВ+2 или выше, увеличьте это повреждение на +2 за кубик! Не забудьте указать это на листе персонажа.
Когда вы защищаетесь голыми руками, бокс позволяет вам парировать две разные атаки в ход, по одной каждой рукой. Ваш умение парирования – (умение/2) +3, округляется вниз. Манёвр отступления дает +3 к броску парирования; см. Отступление (с.377). Вы получаете -2 при парировании ударов ногами, и -3 на парирование оружия с другим типом атаки, нежели прямым. Подробные правила по парированию голыми руками вы можете найти в параграфе Парирование в безоружном бою (с.376).",,0
29,Промывка сознания/ТУ,Brainwashing,2,2,особый,Психология,"Темное искусство технологического контроля разума и изменения личности. Учат этому только в разведке, армии и службах безопасности – и только тех, кто имеет подходящий уровень доступа к секретной информации, но даже тогда это умение редок за пределами государств-диктатур (за исключением, может быть, военного времени).
Взлом сознания охватывает множество типов техник – иногда доказательных, иногда – немногим лучше колдовства. В зависимости от мира, они могут включать химические препараты, электрошок, гипноз, сенсорный голод, лишение сна, социальное давление, хирургические вмешательства, а чаще – комбинацию многих из этих методов.
Независимо от применяемой техники, взлом сознания представлен Обычным Состязанием (не быстрым!) между умением Промывки сознания против Воли жертвы. Бросок делается один раз в день. В такой ситуации у хакера огромные преимущества. Даже если жертва  выигрывает состязание умений, это означает только оттяжку неизбежного. Жертва никак не может повредить хакеру или что-то узнать. Вообще, жертва находится в незавидном положении. Проигрыш – лишь вопрос времени.
Результат зависит от того, насколько Мастер позволит взлому быть эффективным. Взлом может привести к изменению психики, внушению или свести с ума. В игромеханических терминах, жертва может приобрести почти любую ментальную причуду или недостаток. В сеттингах с существованием нейро-интерфейса, Мастер может позволить взлом сознания через компьютер – попытка занимает всего долю секунды! Взлом сознания должен считаться отдельным умением той же сложности, но требованием  к нему выступает не Психология, а Компьютерный взлом.
Обычно это умение не имеет значения по умолчанию. Однако, Мастер может позволить их, если используются определенные умения: Использование электроники (медицина) -6, Гипноз -6, Допрос -6, Фармакология -6, Психология -6, или Хирургия -6.",,0
